cycle,pc,instruction,write,rd,data
5,00000000,00700093,1,1,00000007
6,00000004,00308093,1,1,0000000a
7,00000008,00108133,1,2,00000014
8,0000000c,401101b3,1,3,0000000a
9,00000010,00314233,1,4,0000001e
10,00000014,003272b3,1,5,0000000a
11,00000018,0012e333,1,6,0000000a
12,0000001c,00602023,0,0,00000000
