cycle,pc,instruction,write,rd,data
5,00000000,02a00093,1,1,0000002a
6,00000004,00102023,0,0,00000000
7,00000008,00002103,1,2,0000002a
9,0000000c,002101b3,1,3,00000054
10,00000010,00302223,0,4,00000004
