cycle,pc,instruction,write,rd,data
5,00000000,00700093,1,1,00000007
6,00000004,00108663,0,12,0000000e
9,00000010,00300113,1,2,00000003
10,00000014,00111463,0,8,0000000a
13,0000001c,00202423,0,8,00000008
